id,acc_trade_price,acc_trade_volume,date_time_kst,exchange,high_price,low_price,market,opening_price,time_unit,trade_price
340,62530539957,2960.900095,2022-12-31 9:00,UPBIT,21249000,20966000,KRW_BTC,21086000,DAY,21079000
341,56577073270,2699.072216,2022-12-30 9:00,UPBIT,21232000,20700000,KRW_BTC,21201000,DAY,21070000
342,51975879185,2464.457822,2022-12-29 9:00,UPBIT,21295000,20908000,KRW_BTC,21061000,DAY,21201000
343,66752520284,3151.280761,2022-12-28 9:00,UPBIT,21396000,21010000,KRW_BTC,21324000,DAY,21061000
344,61104995861,2842.52451,2022-12-27 9:00,UPBIT,21745000,21242000,KRW_BTC,21711000,DAY,21321000
345,55317974480,2548.577853,2022-12-26 9:00,UPBIT,21861000,21596000,KRW_BTC,21854000,DAY,21702000
346,44679760075,2041.54109,2022-12-25 9:00,UPBIT,21962000,21776000,KRW_BTC,21951000,DAY,21848000
347,26154354236,1191.820305,2022-12-24 9:00,UPBIT,21985000,21858000,KRW_BTC,21884000,DAY,21951000
348,49294615581,2253.906288,2022-12-23 9:00,UPBIT,22000000,21764000,KRW_BTC,21891000,DAY,21872000
349,54875642302,2511.79403,2022-12-22 9:00,UPBIT,21980000,21659000,KRW_BTC,21943000,DAY,21891000
350,44278935562,2014.947645,2022-12-21 9:00,UPBIT,22065000,21874000,KRW_BTC,22017000,DAY,21943000
351,67692054188,3084.657137,2022-12-20 9:00,UPBIT,22221000,21585000,KRW_BTC,21654000,DAY,22011000
352,69541093991,3169.233834,2022-12-19 9:00,UPBIT,22240000,21521000,KRW_BTC,22214000,DAY,21654000
353,41937018170,1889.620794,2022-12-18 9:00,UPBIT,22299000,22111000,KRW_BTC,22230000,DAY,22210000
354,64427612393,2908.952812,2022-12-17 9:00,UPBIT,22367000,22000000,KRW_BTC,22249000,DAY,22230000
355,1.05209E+11,4660.970703,2022-12-16 9:00,UPBIT,23050000,22125000,KRW_BTC,22952000,DAY,22249000
